Princípio Ativo,Detentor Registro,Nome Comercial,Registro,Concentracao,FormaFarmaceutica,Data Inclusao Lista Referência,Data Atualização Bulário,Acesso Bulário
ácido acetilsalicílico,Bayer,ASPIRINA PREVENT,170560022,100mg,com rev lib retard,12/11/2012,2025-04-07T13:23:24.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=170560022
ácido acetilsalicílico,Bayer,ASPIRINA PREVENT,170560022,300mg,com rev lib retard,12/11/2012,2025-04-07T13:23:24.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=170560022
ácido carglúmico,Recordati Rare Diseases,CARBAGLU,171260001,200mg,com para sus,05/06/2020,2025-02-05T17:36:56.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=171260001
ácido fumárico siponimode,Novartis Biociências,KIENDRA,100681179,"0,25mg",com rev,14/04/2025,2024-12-13T15:50:20.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100681179
ácido fumárico siponimode,Novartis Biociências,KIENDRA,100681179,"2,0mg",com rev,14/04/2025,2024-12-13T15:50:20.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100681179
ácido tióctico,Mylan,THIOCTACID,188300074,600mg,com rev,21/01/2013,2024-07-31T16:35:25.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300074
ácido ursodesoxicólico,Zambon,URSACOL,100840067,50mg,com,23/09/2014,2024-07-26T12:54:31.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100840067
ácido ursodesoxicólico,Zambon,URSACOL,100840067,150mg,com,23/09/2014,2024-07-26T12:54:31.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100840067
ácido ursodesoxicólico,Zambon,URSACOL,100840067,300mg,com,23/09/2014,2024-07-26T12:54:31.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100840067
ácido valpróico,Abbott,DEPAKENE,105530315,250mg,cap mole,12/11/2012,2024-11-21T08:31:10.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105530315
acitretina,Glenmark,NEOTIGASON,110130271,10mg,cap dura,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=110130271
acitretina,Glenmark,NEOTIGASON,110130271,25 mg,cap dura,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=110130271
adapaleno,Glenmark,DERIVA MICRO,110130264,1mg/g,gel derm lib prol,31/10/2019,2024-11-29T10:00:41.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=110130264
adapaleno,Galderma,DIFFERIN,129160025,"3,0 mg/g",gel,12/11/2012,2024-12-09T18:39:23.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=129160025
adapaleno,Galderma,DIFFERIN,129160025,"1,0 mg/g",crem derm,12/11/2012,2024-12-09T18:39:23.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=129160025
adapaleno,Glenmark,ADACNE,110130230,"1,0 mg/g",gel,14/06/2024,2024-11-26T10:24:06.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=110130230
adenosina,Hipolabor,ADENOSINA,113430182,3mg/mL,sol inj,08/04/2022,2024-10-22T07:33:35.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=113430182
afatinibe (dimaleato),Boehringer Ingelheim,GIOTRIF,103670174,30mg,com rev,27/06/2017,2024-10-18T12:03:09.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103670174
afatinibe (dimaleato),Boehringer Ingelheim,GIOTRIF,103670174,40mg,com rev,27/06/2017,2024-10-18T12:03:09.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103670174
agomelatina,Servier,VALDOXAN,112780073,25 mg,com rev,21/01/2013,2024-02-27T11:10:30.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=112780073
albendazol,Sanofi Medley,ALBENDAZOL,183260193,400mg,com mast,09/10/2023,2024-12-11T12:40:52.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=183260193
alcaftadina,Allergan,LASTACAFT,101470179,"2,5mg/ml",sol oft,01/07/2014,2023-06-02T09:09:40.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101470179
alectinibe,Roche,ALECENSA,101000668,150mg,cap dura,10/02/2023,2024-11-29T11:27:55.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101000668
alendronato sódico,Sandoz,ALENDRONATO DE SÓDIO,100470474,70 mg,com rev,30/10/2018,2022-12-15T17:32:49.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100470474
alfaestradiol,Galderma,AVICIS,129160046,"0,25 mg/mL",sol capilar,12/11/2012,2022-06-21T13:43:02.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=129160046
alfentanila (cloridrato),Antibióticos do Brasil,RAPIFEN,155620057,544 µg/mL,sol inj,12/11/2012,2025-02-24T15:24:06.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=155620057
alfuzosina (cloridrato),Sanofi Medley,XATRAL OD,183260437,10 mg,com rev,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=183260437
alogliptina (benzoato),Cosmed,NESINA,178170906,"12,5mg",com rev,13/03/2018,2024-10-03T17:23:04.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=178170906
alogliptina (benzoato),Cosmed,NESINA,178170906,25mg,com rev,13/03/2018,2024-10-03T17:23:04.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=178170906
alopurinol,Aspen Pharma,ZYLORIC,137640122,100mg,com,28/09/2016,2025-01-28T16:23:16.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=137640122
alopurinol,Aspen Pharma,ZYLORIC,137640122,300mg,com,28/09/2016,2025-01-28T16:23:16.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=137640122
alprazolam,Mylan,FRONTAL,188300091,"0,25mg",com,12/11/2012,2024-08-07T09:09:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300091
alprazolam,Mylan,FRONTAL,188300091,"0,5mg",com,12/11/2012,2024-08-07T09:09:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300091
alprazolam,Mylan,FRONTAL,188300091,1mg,com,12/11/2012,2024-08-07T09:09:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300091
alprazolam,Mylan,FRONTAL,188300091,2mg,com,12/11/2012,2024-08-07T09:09:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300091
alprazolam,Mylan,FRONTAL XR,188300091,"0,5mg",com rev lib lenta,12/11/2012,2024-08-07T09:09:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300091
alprazolam,Mylan,FRONTAL XR,188300091,"1,0mg",com rev lib lenta,12/11/2012,2024-08-07T09:09:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300091
alprazolam,Mylan,FRONTAL XR,188300091,"2,0mg",com rev lib lenta,12/11/2012,2024-08-07T09:09:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300091
alprostadil,Opem,ALPROXY,127480029,500µg/mL,sol inj,07/08/2020,2025-05-30T17:00:00.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=127480029
alprostadil,Pfizer,CAVERJECT,102160203,10μg/mL,pó liof sol inj,24/06/2013,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102160203
alprostadil,Pfizer,CAVERJECT,102160203,20μg/mL,pó liof sol inj,24/06/2013,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102160203
alprostadil,Aché,PROSTAVASIN,105730576,20 μg,pó liof sol inj,18/09/2017,2022-09-06T12:43:00.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730576
amantadina (cloridrato),Momenta,MANTIDAN,194270071,100mg,com,13/09/2013,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=194270071
ambrisetana,Glaxosmithkline,VOLIBRIS,101070281,5mg,com rev,27/12/2019,2024-07-16T17:18:24.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101070281
ambrisetana,Glaxosmithkline,VOLIBRIS,101070281,10mg,com rev,27/12/2019,2024-07-16T17:18:24.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101070281
ambroxol (cloridrato),Opella Healthcare,MUCOSOLVAN,186200017,3 mg/ml,xpe,12/11/2012,2024-11-21T13:39:55.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=186200017
ambroxol (cloridrato),Opella Healthcare,MUCOSOLVAN,186200017,6 mg/ml,xpe,12/11/2012,2024-11-21T13:39:55.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=186200017
ambroxol (cloridrato),Opella Healthcare,MUCOSOLVAN,186200017,"7,5mg/mL",sol got,12/11/2012,2024-11-21T13:39:55.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=186200017
amicacina (sulfato),Teuto,SULFATO DE AMICACINA,103700297,50mg/ml,sol inj,12/11/2012,2023-02-28T10:21:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103700297
amicacina (sulfato),Teuto,SULFATO DE AMICACINA,103700297,125mg/ml,sol inj,12/11/2012,2023-02-28T10:21:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103700297
amicacina (sulfato),Teuto,SULFATO DE AMICACINA,103700297,250mg/ml,sol inj,12/11/2012,2023-02-28T10:21:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103700297
aminofilina,Hipolabor,AMINOFILINA,113430118,24 mg/ml,sol inj,12/11/2012,2024-11-12T14:18:34.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=113430118
aminofilina,Teuto,AMINOFILINA,103700445,100mg,com,19/01/2018,2025-02-26T14:25:53.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103700445
aminofilina,Teuto,AMINOFILINA,103700445,200mg,com,19/01/2018,2025-02-26T14:25:53.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103700445
amiodarona (cloridrato),Sanofi Medley,ATLANSIL,183260423,100mg,com,12/11/2012,2024-12-18T08:50:13.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=183260423
amiodarona (cloridrato),Sanofi Medley,ATLANSIL,183260423,200mg,com,12/11/2012,2024-12-18T08:50:13.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=183260423
amiodarona (cloridrato),Hypolabor,CLORIDRATO DE AMIODARONA,113430122,50mg/mL,sol inj,12/04/2018,2024-10-24T13:52:15.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=113430122
amisulprida,Sanofi Medley,SOCIAN,183260319,50mg,com,12/11/2012,2024-12-18T11:28:51.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=183260319
amisulprida,Sanofi Medley,SOCIAN,183260319,200mg,com,12/11/2012,2024-12-18T11:28:51.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=183260319
amitriptilina (cloridrato),Cristália,AMYTRIL,102980225,25mg,com rev,07/10/2013,2021-03-08T09:53:57.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102980225
amitriptilina (cloridrato),Cristália,AMYTRIL,102980225,75mg,com rev,07/10/2013,2021-03-08T09:53:57.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102980225
amitriptilina (cloridrato),Cristália,AMYTRIL,102980364,10mg,com rev,15/02/2019,2021-03-05T13:45:26.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102980364
amorolfina,Galderma,LOCERYL,129160036,50mg/mL,esm,12/11/2012,2025-01-30T15:05:18.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=129160036
amorolfina (cloridrato),Galderma,LOCERYL,129160036,"2,5mg/g",crem derm,29/10/2015,2025-01-30T15:05:18.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=129160036
amoxicilina,Glaxosmithkline,AMOXIL,101070003,500mg,cap dura,10/05/2013,2025-05-26T13:57:11.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101070003
amoxicilina,Glaxosmithkline,AMOXIL,101070003,125mg/5mL,pó sus or,23/07/2013,2025-05-26T13:57:11.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101070003
amoxicilina,Glaxosmithkline,AMOXIL,101070003,250mg/5mL,pó sus or,23/07/2013,2025-05-26T13:57:11.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101070003
amoxicilina,Glaxosmithkline,AMOXIL,101070003,500mg/5mL,pó sus or,23/07/2013,2025-05-26T13:57:11.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101070003
amoxicilina,Aché,NOVOCILIN,105730076,400mg/5ml,pó sus or,31/07/2019,2024-11-21T15:31:33.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730076
amoxicilina,Aché,NOVOCILIN,105730076,875mg,com,31/07/2019,2024-11-21T15:31:33.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730076
ampicilina,Eurofarma,AMPLACILINA,100430687,500mg,cap dura,15/06/2018,2017-05-23T12:49:46.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=100430687
ampicilina sódica,Teuto,AMPICILINA SÓDICA,103700299,500mg,pó sol inj,01/09/2023,2025-05-13T14:26:00.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103700299
ampicilina sódica,Teuto,AMPICILINA SÓDICA,103700299,1g,pó sol inj,15/02/2019,2025-05-13T14:26:00.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=103700299
anagrelida (cloridrato),Takeda,AGRYLIN,106390302,"0,5mg",cap dura,13/09/2013,2023-07-20T09:47:18.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=106390302
anastrozol,Astrazeneca,ARIMIDEX,116180063,1mg,com rev,12/11/2012,2024-07-02T11:26:34.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=116180063
anfotericina b (lipossomal),United Medical,AMBISOME,125760007,50mg/12mL,pó sol inj,28/09/2016,2024-05-21T16:39:34.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=125760007
anidulafungina,Pfizer,ECALTA,102160219,100mg/30mL,pó liof sol inj,12/11/2012,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102160219
anlodipino (besilato),Aché,CORDAREX,105730584,"2,5mg",com,26/07/2018,2025-01-16T14:16:54.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730584
anlodipino (besilato),Mylan,NORVASC,188300080,"5,0mg",com,12/11/2012,2025-04-15T10:08:31.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300080
anlodipino (besilato),Mylan,NORVASC,188300080,10mg,com,12/11/2012,2025-04-15T10:08:31.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300080
apalutamida,Janssen-Cilag,ERLEADA,112363419,60mg,com,14/04/2023,2024-12-04T17:03:04.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=112363419
apixabana,Wyeth,ELIQUIS,121100464,"2,5mg",com rev,29/10/2014,2024-09-18T11:25:22.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=121100464
apixabana,Wyeth,ELIQUIS,121100464,5mg,com rev,29/10/2014,2024-09-18T11:25:22.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=121100464
aripiprazol,Aché,ARISTAB,105730425,10mg,com,29/07/2014,2024-01-19T12:08:27.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730425
aripiprazol,Aché,ARISTAB,105730425,15mg,com,29/07/2014,2024-01-19T12:08:27.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730425
aripiprazol,Aché,ARISTAB,105730425,20mg,com,29/07/2014,2024-01-19T12:08:27.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730425
aripiprazol,Aché,ARISTAB,105730425,30mg,com,29/07/2014,2024-01-19T12:08:27.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730425
aripiprazol,Aché,ARISTAB,105730724,1mg/mL,sus,09/07/2021,2023-10-23T17:10:01.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=105730724
aripiprazol,EMS S/A,ARPEJO,102351307,20 mg/mL,sus got,09/07/2021,2025-01-15T13:51:48.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=102351307
armodafinila,Teva Farmacêutica,NUVIGIL,155730053,150mg,com,07/08/2020,2023-11-24T11:57:32.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=155730053
armodafinila,Teva Farmacêutica,NUVIGIL,155730054,250mg,com,07/08/2020,,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=155730054
atazaniavir (sulfato),Fiocruz,SULFATO DE ATAZANAVIR,110630133,300mg,cap dura,14/06/2024,2024-12-02T17:04:42.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=110630133
atenolol,Biolab Sanus,ABLOK,109740100,25 mg,com,31/07/2019,2025-04-02T13:56:05.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=109740100
atenolol,Biolab Sanus,ABLOK,109740100,50 mg,com,31/07/2019,2025-04-02T13:56:05.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=109740100
atenolol,Biolab Sanus,ABLOK,109740100,100 mg,com,31/07/2019,2025-04-02T13:56:05.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=109740100
atomoxetina (cloridrato),Apsen Farmacêutica,ATENTAH,101180649,10 mg,cap dura,05/04/2024,2024-12-20T08:20:10.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101180649
atomoxetina (cloridrato),Apsen Farmacêutica,ATENTAH,101180649,18 mg,cap dura,05/04/2024,2024-12-20T08:20:10.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101180649
atomoxetina (cloridrato),Apsen Farmacêutica,ATENTAH,101180649,25 mg,cap dura,05/04/2024,2024-12-20T08:20:10.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101180649
atomoxetina (cloridrato),Apsen Farmacêutica,ATENTAH,101180649,40 mg,cap dura,05/04/2024,2024-12-20T08:20:10.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101180649
atomoxetina (cloridrato),Apsen Farmacêutica,ATENTAH,101180649,60 mg,cap dura,05/04/2024,2024-12-20T08:20:10.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101180649
atomoxetina (cloridrato),Apsen Farmacêutica,ATENTAH,101180649,80 mg,cap dura,05/04/2024,2024-12-20T08:20:10.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=101180649
atorvastatina cálcica,Mylan,CITALOR,188300088,10 mg,com rev,12/11/2012,2025-04-16T18:18:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300088
atorvastatina cálcica,Mylan,CITALOR,188300088,20 mg,com rev,12/11/2012,2025-04-16T18:18:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300088
atorvastatina cálcica,Mylan,CITALOR,188300088,40 mg,com rev,12/11/2012,2025-04-16T18:18:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300088
atorvastatina cálcica,Mylan,CITALOR,188300088,80 mg,com rev,12/11/2012,2025-04-16T18:18:58.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=188300088
atosibano (acetato),Ferring,TRACTOCILE,128760010,"7,5 mg/mL",sol inj,12/11/2012,2024-08-29T19:34:17.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=128760010
atosibano (acetato),Ferring,TRACTOCILE,128760010,"7,5 mg/mL",sol infus,12/11/2012,2024-08-29T19:34:17.000-0300,https://consultas.anvisa.gov.br/#/bulario/q/?numeroRegistro=128760010
