Detentor do registro,cnpj,Produto,Registro,Processo,Data Atualização Bulário,Inclusão na Plataforma,idBulaPacienteProtegido,idBulaProfissionalProtegido
PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,02501297000102,Digoxina,141070059,25351066435200661,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE1Njg0OSIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.LcXRW5CLPkFiBYuzmix-4zfdHO6sSGXVRzZ6L02qqtJE4iorxkbf7-uqOiQK9PX5pTewuqeoQbC7_vDX9meuTg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE1Njg1MCIsIm5iZiI6MTc0ODg2MzI3NywiZXhwIjoxNzQ4ODYzNTc3fQ.VlBKocoPnSDvbL1_5VGlDcq8H6PfpnyHI-XODfWDV8AfjJIDyc5qkLTfMCTNWyyBhvHymjq5Iiu0i5esbqC4RQ
MEGALABS FARMACEUTICA S.A.,33026055000120,DROXAINE,101430057,2599200769361,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3Mjc5MiIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.WVGV4AVVLryoeenkvZ5Q17atNYHvX9EPPVCq8fGaPko9u2C9cgO64vf44G-AWHoBlNUA9VPXyQjPJtQRx_ddsQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3Mjc5MyIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.02jRzIulWLcKyX52b_qghnLma77gH6XM47gUV-5yXkDMlFram-QCZEJlYVEetgOsAeXd6R0cFbb0cvgib0n9LQ
LABORATÓRIO GLOBO SA,17115437000173,etoricoxibe,105350253,25351009181202547,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2ODc4OCIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.zX5Odndihdd7qhoitfNr_z7cCGTQFocvlkavQogx0QmF_ju7RtrHxrKWIsdNArRU4NeVudXYspX2NLQLDALqZA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2ODc4OSIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.Szkg1RWTprbWTRp6lLp7W4zF0LOJgAx1t_jNQiDiPoDqZZPp2_XVKmbzm9cpRfg3MUBGnbvv4TevfvO3mHEGbw
APSEN FARMACEUTICA S/A,62462015000129,FLANCOX,101180146,250000123449706,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2MjM0OSIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.-W9WxWEjuhSNoFd42z2lLk6rIjJ9rFvsYzBYu8wEAQGrLdCXgdDGOOoUTJitREkhDPaprQu0IyGgrYdXl7cmsw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2MjM1MCIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.lYzyQQTsyLWmJ54JY48cC4hdGhk8uwYTIJD76vnr995NQ1izZQS_1oG44U04b_1HUNvbNBJdmDcTPnXGTcal4Q
FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP,43640754000119,FURP - ETAMBUTOL,110390102,2500101012886,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MzI0MCIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.gseT7FERt9jirDYbMYeEyd6YE7WJwIW9n-FKZav9ZNVzCy5BFPTrdO5nz55G6n1aujbGCguMWKxh9JxVzpLIHQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MzI0MiIsIm5iZiI6MTc0ODg2MzI4MSwiZXhwIjoxNzQ4ODYzNTgxfQ.HzJH-oq2dgkjNvxeJDFUsOu4kWkhgTZekwqmQ60kGrXax1-50NkIgFQPSoWsGUf5toFgMIKzOmr2H4fJAJd9WA
MEGALABS FARMACEUTICA S.A.,33026055000120,GOTAS BINELLI,101430070,25351290848200746,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MTY0NiIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.RPk4LPUmtBjSdh_GS-s_7tI2NNDoYWVjey9TluTZrIvWvQ2e26rWmwVE6BfI7BuG0LRsSNfIqvIq-kGV43r4tA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MTY0NyIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.ls6sLpwbjK5J0VJruSdVS9NKICvTxhf1E15vFBoZF2Y9CR4EWSsSlnFHyxAfWvucAy4AgABv7Swz6kPy-aivVg
RECORDATI RARE DISEASES COMÉRCIO DE MEDICAMENTOS LTDA - ME,53056057000179,ISTURISA,171260009,25351520083202302,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2MDI4MiIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.qkcB6D6v6g3fYk0GtA8SznX0RcPcPmMOOYTkZ5QNcVGm051ce8m-rfbxfhlPoVA8tRtmp9YnnHRxJdXwGCvohQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2MDI4MyIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.xAD7M_LuxH8vONvk6ZVT7Q1IQbC7hy29IbFOwbt39ZZ_4Bot-JX0GPGDJg5pRVpfh-P29WqZTA4tsCw22GkG2A
JP INDUSTRIA FARMACEUTICA S/A,55972087000150,JP GLICOFISIOLÓGICO,104910019,2599200776167,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MzA3MSIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.5wV-qfatuDQFD5TsQ_l77Pv4AmgvRCmwDgAd6ShF9nZkNEwnBSyALFvNF7nCLUqKMBeYHKPoAherfA-tr9r59A,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MzA3MiIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.AEfNiX1Km2H7vxWjX_Dd8KNAbwKvm2rLeeh6oZ8a3jwi1hVPWizTrsS86lsppUAOucULV6QiDz_jOGj6UWTGUg
JP INDUSTRIA FARMACEUTICA S/A,55972087000150,JP GLICOSE,104910020,2500100531277,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MzQzOSIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.6bORJZr6aCiQZR0qRDgTjmf_PktMvmpY5jVOcwkMiun9uWmFGkGOPzn68VN6F0dRZCp3oFcUH9dVSxd3fQU7lg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MzQ0MCIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.s5hh5oZEnIUAJynXiiBb7koVzKYR7UKokVtD5NaXXg3ScZOHyQKYTbeDC0XXK9MAzh9CzE2Doz8pJzIxE_uQTg
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,44734671000151,LÁBREA DUO,102980577,25351694234202015,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3NTczOSIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.sTqTEHzG_jPmfEGEXJ4nF7t5aTieeHvFu4ldi5UFXZKyIiJmW0E3dAVyI0YZoOlmmxbQdExtfFm-AX-Ol9JgOg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3NTc0MCIsIm5iZiI6MTc0ODg2MzI4NCwiZXhwIjoxNzQ4ODYzNTg0fQ.wFNTXk-nz9oskocbwImFxi3Yl7em_LXCHXaXyoc-AkYPfBO35gC8plQwOFjYNfPTJyCXikn63hwk3m1vnF-IKw
LABORATÓRIOS FERRING LTDA,74232034000148,MENOPUR,128760011,253510173640124,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2MzQ2NiIsIm5iZiI6MTc0ODg2MzI4NywiZXhwIjoxNzQ4ODYzNTg3fQ.qu0Pr_FHT_D6z3tvSg6NzrjsmRAdkp4sHoWuwebb8qQy2fdw_mW-rkx8sBb7SIjWQqGtWDjlX4o4ljUYSuu5Og,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2MzQ2NyIsIm5iZiI6MTc0ODg2MzI4NywiZXhwIjoxNzQ4ODYzNTg3fQ.DTpg-FBOOSYBkN-MLur0_e8YjEPBB_Q820aaYf0yzL7_jSVKsSUC8cn4p9kfTm-0gqImuSqUyIk43Sg1SIMs6g
MEGALABS FARMACEUTICA S.A.,33026055000120,MALVONA,101430068,25351287439200681,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MzgyMSIsIm5iZiI6MTc0ODg2MzI4NywiZXhwIjoxNzQ4ODYzNTg3fQ.LcFuNCLEUOlxyrhw42rdnBCks4SKNKd-q15Xp5Y1SlYtUy95UDJr0huraxxoJ88XhJt8I8yeZ2IGNFXrCwTtcA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MzgyMiIsIm5iZiI6MTc0ODg2MzI4NywiZXhwIjoxNzQ4ODYzNTg3fQ.p-62E7yib1GnMFGK71cKp82ALZTDs7JwS0EyyQSd3fh-h_EMgaxxGKW7TeW5t2Twjhvbu4cHt7i1lAx62mrFJg
LIBBS FARMACÊUTICA LTDA,61230314000175,TARFIC,100330160,25351374125201072,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3NTc3NSIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.fCXNYX3bCAvA6ODEihUIUXKp6hdV2Dla_hq9qyzQmNEwhdd4hUMUt4vIOpSUPdvBMVmaBMBlvK_OO9LEWPEl6Q,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3NTc3NiIsIm5iZiI6MTc0ODg2MzI5MCwiZXhwIjoxNzQ4ODYzNTkwfQ.KdvYpQ3dPzUTX3By1jl8QGKqPQ4EAkzPvyA43Wg523Hns-8O6lmJuntFLj1onrHPAmrXznG4SW8JILt_OOui1w
BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A,05161069000110,rivaroxabana,155840676,25351203381202322,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE1ODAxNyIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.TV9B2tsgXws5l3ZRANCaBum7GcV4bIskVhZ9ST8xejM3ytC8oro6FVpGmKLRiveYu9FN619eiovSawfZ025prg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE1ODAxOCIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.aUmiOWSAzO682Iq6b5wzPs0vXJOsT9UmwZjQDZcG4rSEcwiceZlVb5vHn16lEArgHcyWSgAaiqbeY3AkmDiRmw
EMS S/A,57507378000365,rivaroxabana,102351265,25351595763201604,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2NTUwMSIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.D0fJzcuucBB9ZipUO8CXeBjLj6geBGQZAPz5IJcdLdnpGIT9XtPf2OrXHCdvt5Ed0OB3wi7YZ1wj-35GUrhtzQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2NTUwMiIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.F8eHMDvVpTXioosSba4Z08vIBYymmTYt-d4foZVv3tkEo52UKvTHljjGOo-ESZXFiy5DE8b2OOUU3qFEAR5Y0w
PHARLAB INDÚSTRIA FARMACÊUTICA S.A.,02501297000102,rivaroxabana,141070638,25351849425202101,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE1NzA5NiIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.CeVBv1IU37I1HZA1y02ep4Wp46lepzPbSc7Y3_tPexkGvW5HyMxwbiT2ksNW9KQHTmKM6hosKPIB6a2mcgVzsw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE1NzA5NyIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.EEPs2e-Voj3Gc-3uK13oNBXbpBZzmNZ4klll5ihlXwgnfku_BvQehUxniI78uwfUWq34E5XiDASBKIHDxh26jA
CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,44734671000151,Roxetin,102980518,25351343884201872,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3NjA5MCIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.aykT7hPH073lmr-7vdjCIPOHm9_bShti_OTJZW5R9R_YRik4uK4KKbC0FddJBFvgfA_xdaOz-ajeGfrkIXjYsQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3NjA5MSIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.T8hohf7gZ0E7u4zKtU8bU0sJzDjegfqGbnC2wUPQ89jYuUcvlH4xexyh21e8a3OduktZMuFvt2fp7QZ_y7y0wA
SANOFI MEDLEY FARMACÊUTICA LTDA.,10588595001092,OXALATO DE ESCITALOPRAM,183260138,25351677769201412,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE1ODE0OSIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.VITlco4FGER6GoY6IRnlGAcoR0Haa7tWC5XbTkaaUUMB0qOc-EvjifZDkscpI6h2ufRfZtUgqkz76DQX5WgRUw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE1ODE1MCIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.b6RnuWohM7o1frmqZM9dAqHv2N7r2cLPMX4m0puIPcTPBz0EndCsYpXBybFc8o1hmEdmIPZ6NPLeAjLDtjb9_Q
MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA,92265552000905,pantoprazol sódico sesqui-hidratado,118190400,25351065456202280,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2MzU1NyIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.6omc7cEn9qQMaJL1_XK8nJAoBZxtSCfxMXFXWWJC56g6Hplsm7PfLIzTKNcW5V4OzmWj9QkpMQUeK7jC98xweQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2MzU1OCIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.NPrNXTqdW4vPK0kWOyFQI1AgTzFb9l5esibHZRQl9OzrzqbgYHABRLJ3yqt8mcGJLFZaGrddZFJ2Yo8sC6udKQ
KENVUE LTDA.,59748988000114,MOTILIUM,157211213,25351464757202373,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2NjA0MyIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.78mSK8GKeO8XeLu84r_YTwdvFiW2-g4r8r5bq_jX7DqcbGi-3HeYyor1dh0dcMy5pr895iy9PKYn7GsL61ZrKg,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2NjA0NCIsIm5iZiI6MTc0ODg2MzI5MywiZXhwIjoxNzQ4ODYzNTkzfQ.dx8nO7PgqdcjP5zh1ZWZnr8q8I3u_C04rmtdT7im2bxGo1mGRT1PmCgYw2paf0GNS46bR45SkBNUbcaHlRL8-A
JP INDUSTRIA FARMACEUTICA S/A,55972087000150,SOLUÇÃO DE RINGER COM LACTATO,104910061,2500100619281,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MzY4NSIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.Nk1bUpDBG9T-_PvPMX07I6NdeNKrLpfYZcio-e2-srATPa0j6v8YBUZl44EFAX444QKTJmEDFX7J__SHXbzWmQ,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE3MzY4NiIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ._q3xYa9GI-PLOVNER8sBRaMPiXQOco_mCKfFCRWKG1RI5biIaB7dVhIZvB7GlMyH-2-aARVSTzxlArmSXE6Xcw
COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,61082426000207,VABAM,178170973,25351272269202331,30/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2Nzc5MiIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.G-N4twRGLqiwVC64cELoRLoG_4Ox6gjGrSPfQAzv0m8jqtNyWjpFvOF-nErGsw5TRWPu1-boTEgHcA9f9NHatA,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE2Nzc5NCIsIm5iZiI6MTc0ODg2MzI5NSwiZXhwIjoxNzQ4ODYzNTk1fQ.skUJ2JzwTenM3JqH2IerLHlFbsxWiQ32PvqyqVR5Gjjm_tIh_BQeMpDn0gWApCJmJj_pOQNYhgOELxDlmaWEIQ
LABORATÓRIO GLOBO SA,17115437000173,acebrofilina,105350196,25351348186201782,29/05/2025,02/06/2025,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE0NjkwNyIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.rqGQCRQY1vx03as20OvFvr8gSWkDNja8u8LoCydVIg5Ned-EeMySpBUNNHtlCRRJnOcSQSG_gtZPm9huSI3ZYw,eyJhbGciOiJIUzUxMiJ9.eyJqdGkiOiIzMDE0NjkwOCIsIm5iZiI6MTc0ODg2MzI3MCwiZXhwIjoxNzQ4ODYzNTcwfQ.eAC8be_hxxM77mC0WKn0QS4vTQ6vbG5ywwuqQG_UZuiqAlWIhluHlubu7tstSiLh0T3HAmeDyvDk8gIRxqJCAA
